sequence,unit_id,corpus,model,protocol,seed,outer_fold,n_outer_folds,n_fit,n_validation,n_outer_test,manifest_sha256,cache_sha256,outer_fold_sha256,inner_split_path,inner_split_sha256
914,cremad__resnet_se__loso__s1__f081,cremad,resnet_se,loso,1,81,91,5493,1867,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,76ad0e4de6a36f8213881821f99884acedf5a407eb3d245af26d2da35363e018,splits/inner/cremad/loso/fold_081_seed_1.npz,7e3fa049166bba4e9b069ce464b1bfdeb45a92458768dae2fef09160de3224d1
915,cremad__resnet_se__loso__s1__f082,cremad,resnet_se,loso,1,82,91,5476,1884,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,2675b60e38166851f71ee4fa0dd06e96800206e6f50b9bfd468eebfed2570199,splits/inner/cremad/loso/fold_082_seed_1.npz,e214521cef0ccbb6b26dc8bf3734ba08c2e4422c2c190e30be9051d4cd56bda6
916,cremad__resnet_se__loso__s1__f083,cremad,resnet_se,loso,1,83,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b08fda45c428a43dd456604c95da19a3fed664b83379fd66d89036893bddfd25,splits/inner/cremad/loso/fold_083_seed_1.npz,b152ef5eefb8bbfd3349965fa395789878fe9318b97d7800dd48103bbce48d2b
917,cremad__resnet_se__loso__s1__f084,cremad,resnet_se,loso,1,84,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,fbc4110475f2ff30f7e227fe8ef52f2ade4f4d0fe9bbe705929e78f291f1c4e2,splits/inner/cremad/loso/fold_084_seed_1.npz,686f2f8d319d05bf15f738fa954ce4ed08fd35a6e88dfba213ca1dd45e7c15bd
918,cremad__resnet_se__loso__s1__f085,cremad,resnet_se,loso,1,85,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,dee9e914bdc10c3ab032b6b1c54fe232ca01602b5ab9df04f42be415a5d3d38d,splits/inner/cremad/loso/fold_085_seed_1.npz,f2471f60ceb348321d835e58efa4e190813a21441709d4f42a64c707a1ab2107
919,cremad__resnet_se__loso__s1__f086,cremad,resnet_se,loso,1,86,91,5492,1868,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,67299a142b61eaae77b965a0e64dbf6fdbc85567d7c161031fec180e7fbc5786,splits/inner/cremad/loso/fold_086_seed_1.npz,fa4ced3a13f8ef9e407161c38ba7e643a360dcf39e55c9100db7065aa21b7341
920,cremad__resnet_se__loso__s1__f087,cremad,resnet_se,loso,1,87,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,c7d655ceefba80978f6d4ad0e3f594adc547e538a8736f9526b03d8f6e5669fd,splits/inner/cremad/loso/fold_087_seed_1.npz,227c8b28a70763f70097da64410c33356f5e7807c006326ab7d1af61d6e5666b
921,cremad__resnet_se__loso__s1__f088,cremad,resnet_se,loso,1,88,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,1ef109b27766911e3f24febf40ec71a9fd66a82ac9844e794f2e1d4ec193210f,splits/inner/cremad/loso/fold_088_seed_1.npz,a5ddafedfca5bd59fbe17448eee5cce59b8a3b9ad529bd6aebd589e7f84a9089
922,cremad__resnet_se__loso__s1__f089,cremad,resnet_se,loso,1,89,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d321639617d9d051c7a392faf37992cbc883a68ff407146a9f421cfe4dc98280,splits/inner/cremad/loso/fold_089_seed_1.npz,8a9d0929993a3ff9540adb393590f2e741826221f68b9b78eeab3e1f1857da8d
923,cremad__resnet_se__loso__s1__f090,cremad,resnet_se,loso,1,90,91,5476,1884,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,67a6365dc0efd998ff9261fc7e9a8587293f46b6b1ff16c0d2574766ac2f0a1d,splits/inner/cremad/loso/fold_090_seed_1.npz,53f64015a736a81ebad2ab15e6e6a5a42f89ee8460422faf31b87da9cc75837d
924,cremad__resnet_se__loso__s2__f000,cremad,resnet_se,loso,2,0,91,5476,1884,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,3d72e3048dfa839c2218fbb2406ec759a63074962d6cb249b0f0ed8d5877993d,splits/inner/cremad/loso/fold_000_seed_2.npz,e88594811c0be7809ee891454a0ab8b15d383e8b1b2a9ae177109fdf4a5ca4ac
925,cremad__resnet_se__loso__s2__f001,cremad,resnet_se,loso,2,1,91,5482,1879,81,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f0a844c4f1fc0fb23b49d0b7c213c51e690c8f0d013b4808454e858e7f6520ec,splits/inner/cremad/loso/fold_001_seed_2.npz,a01e66d2ee2afa3c70d87ab81a34f4a9f1c6977be1432804c85d14873daed928
926,cremad__resnet_se__loso__s2__f002,cremad,resnet_se,loso,2,2,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,891bcab81e2165102dfff1ec91425d0c3987a4620159035fdb982a7a3d09036d,splits/inner/cremad/loso/fold_002_seed_2.npz,cbd9202964bd036ab57a9ee777d6994b547f04e4e6e88a046d0aaf1b55264f76
927,cremad__resnet_se__loso__s2__f003,cremad,resnet_se,loso,2,3,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,8d2ab63dbf182453a7ca962ad8690ae4b7416fbbbda53cd1e3c3431cf9e624ed,splits/inner/cremad/loso/fold_003_seed_2.npz,34b29ea7e8eaa96c5300ea9e602735b6903b4a6c7f28fc5a57e95cef17f70a5c
928,cremad__resnet_se__loso__s2__f004,cremad,resnet_se,loso,2,4,91,5487,1873,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a45961c1d30470a2758184d8b85cff28cb722b3bc8d2a8f4d63629d240a353e2,splits/inner/cremad/loso/fold_004_seed_2.npz,eec8512e095caaede9dfa98ad1fec1d4f1be5363118fff2067b01bc7771d8a69
929,cremad__resnet_se__loso__s2__f005,cremad,resnet_se,loso,2,5,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,88fdabc99d642390e99b57fd3afd33f5f72ce105d8183238824b7fd96860e4c9,splits/inner/cremad/loso/fold_005_seed_2.npz,b9aafe833b58a57939d687461efd66fa708936ec8163e5c32ea4323d4a268114
930,cremad__resnet_se__loso__s2__f006,cremad,resnet_se,loso,2,6,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,fd7be3a337ea9412a2e2fff46e25dbe08dbad173512e31e8d5488b36e6b42209,splits/inner/cremad/loso/fold_006_seed_2.npz,8f225eda5cb991cd9f9983ba80654cfa20045685c309a1bd0fce9c2b08fb8d84
931,cremad__resnet_se__loso__s2__f007,cremad,resnet_se,loso,2,7,91,5480,1886,76,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a2ca9686f6c97a915d515116945ff94f46ca3ea152f1346426caf54477d36a9f,splits/inner/cremad/loso/fold_007_seed_2.npz,aa7ff1e45c6ab97578c3308d87227821b15b3b25dff86c0eaa6e02ed4651df12
932,cremad__resnet_se__loso__s2__f008,cremad,resnet_se,loso,2,8,91,5481,1885,76,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,8b228f1fef86c752615f41bf8940a583985de6138027cae830acf5f05e2d56a4,splits/inner/cremad/loso/fold_008_seed_2.npz,e32c192f76c32cb71b7882b5cc797d250b415d487703a7fd7f13e834007641ab
933,cremad__resnet_se__loso__s2__f009,cremad,resnet_se,loso,2,9,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,979f23581f6b4ac6fab014da9bc0117e659d628cefffbbb57016023bf2a26b5e,splits/inner/cremad/loso/fold_009_seed_2.npz,79f4fbf41bab3aa6cbb2817aa9074997201b4b4de74b467d0f9d1dff39afafbb
934,cremad__resnet_se__loso__s2__f010,cremad,resnet_se,loso,2,10,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,88ee3b4449ebcb1425f5e708e2df6fde58472eb218dc237966ed7cd29491051c,splits/inner/cremad/loso/fold_010_seed_2.npz,460286dcb1d5f35b81c3ff88c1ce3b7b524516254aadd3324b0fe9a8c6cb64b2
935,cremad__resnet_se__loso__s2__f011,cremad,resnet_se,loso,2,11,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e4d168d6243c1fd5eb8b840fdee76f8fd3f31c7d72cb1198070a7c766dda6598,splits/inner/cremad/loso/fold_011_seed_2.npz,78c9ef5d3cae26d3f0fc9e2fe1e5a44ff45b0e6416367fa52b4f0df875906bed
936,cremad__resnet_se__loso__s2__f012,cremad,resnet_se,loso,2,12,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,17c0c33dcf1cdf39055ff9445408793da327651fdcf3d7b5e29a7b3fec3067c9,splits/inner/cremad/loso/fold_012_seed_2.npz,2181bf2dd65fb0c0352cc54b148d56a51aa839f3fcebf030cb3bf06d3e0e15ee
937,cremad__resnet_se__loso__s2__f013,cremad,resnet_se,loso,2,13,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,433ee2bbd1e7e7a8a9b1b04c5f97f72d58cf45c0e9e98e8655db8d1e8d39eb9e,splits/inner/cremad/loso/fold_013_seed_2.npz,25ddc0c7859f12ff5c96e520e8664f031ce3a207621850a9e7216d4e5934c423
938,cremad__resnet_se__loso__s2__f014,cremad,resnet_se,loso,2,14,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b4f14d9f323027a8d173d0c60c58855999aeac8ef364d726c18be229e1e00f37,splits/inner/cremad/loso/fold_014_seed_2.npz,8518a7a671870b4b8ea48d4956ea77107bfd86bf4178165ea68be52b5baac9fa
939,cremad__resnet_se__loso__s2__f015,cremad,resnet_se,loso,2,15,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,40205966f520c2247d83cdc7e6be9e94482b05366011a5d1eb7573806567e820,splits/inner/cremad/loso/fold_015_seed_2.npz,d7a49e865c0db4f98abc34d60fa854c0c9580c21788e702a6ed1650764872f62
940,cremad__resnet_se__loso__s2__f016,cremad,resnet_se,loso,2,16,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,88013497016a429eaa290ecc9840f121d2bb34ee9bcfed67ce6924641bde2cec,splits/inner/cremad/loso/fold_016_seed_2.npz,65bf5c264ef04a3af11b9febb95b20d02fa4603bb92385a3e11ea62e1f5e7787
941,cremad__resnet_se__loso__s2__f017,cremad,resnet_se,loso,2,17,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a0ea00e6861a1d1827d772531490e45ad7136f74def66faa7b71bcf05d32f382,splits/inner/cremad/loso/fold_017_seed_2.npz,822e7c4fac5cc31e1b03e0d122137686f32a2c90e9e514dc8fbf52811acea849
942,cremad__resnet_se__loso__s2__f018,cremad,resnet_se,loso,2,18,91,5488,1878,76,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b63e20ee69704d8fa281feb57b8d683f42dd22fbfd9b12d1e2122899686d0bf6,splits/inner/cremad/loso/fold_018_seed_2.npz,a128b5d41acb314e2afe4461ddd172f7cbf83c08d543e437c4cd1467de81fda0
943,cremad__resnet_se__loso__s2__f019,cremad,resnet_se,loso,2,19,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b7feb377974f16ca61d5bb95356c60cab412a458a71f9c28568ae289c21a3d49,splits/inner/cremad/loso/fold_019_seed_2.npz,b0e1298940290587f8598d7cfe717463e3c6c9edf7a9c1c45cf0dcb6ea1ac4ff
944,cremad__resnet_se__loso__s2__f020,cremad,resnet_se,loso,2,20,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,9212a787130173ff2bacba858281e4c6757dd1968a9787b17f64c972a6d2bf5c,splits/inner/cremad/loso/fold_020_seed_2.npz,c53bc9f0acb9f11f5a5d8b3ad2525b7ef6d1dcb50d8925481b31dfb0049f8bed
945,cremad__resnet_se__loso__s2__f021,cremad,resnet_se,loso,2,21,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,5c536325c3912d8c681de40382884cf5dafd6c56d5e9452befca0ad180b9cea5,splits/inner/cremad/loso/fold_021_seed_2.npz,af45d36096ce5cb8a74506a3a394ed6ba7481211e38d11917a98234910ab438f
946,cremad__resnet_se__loso__s2__f022,cremad,resnet_se,loso,2,22,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,874171c6223d6c3b0ef7482af009215793feb46f1b8b9907ee0d92bb284ba462,splits/inner/cremad/loso/fold_022_seed_2.npz,9e7975743f2381d6ab61d4fbd003d57340b962d37ec68d82b5f688cc896adcb6
947,cremad__resnet_se__loso__s2__f023,cremad,resnet_se,loso,2,23,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,28a004a6fd5785962a09c8c978265460328ee7572c4c7cc844194365b6faa6fe,splits/inner/cremad/loso/fold_023_seed_2.npz,cd5e151b91379ab94c4f1a9c6248abafadfacddedaed1a9b8a0634fcaba7a933
948,cremad__resnet_se__loso__s2__f024,cremad,resnet_se,loso,2,24,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,9c61ed99413cb1039e7ae5b7d1a0d372c2b9215d5f8c44baab95b7104c84c2e6,splits/inner/cremad/loso/fold_024_seed_2.npz,f852fd125d0d72ec4b4a19b76fa7c79ba97935064004481ae17e0ec303293c5e
949,cremad__resnet_se__loso__s2__f025,cremad,resnet_se,loso,2,25,91,5482,1878,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d289267672698e856881159948befd525af0d00e4a0fc0bb65703b49a207dd59,splits/inner/cremad/loso/fold_025_seed_2.npz,4f0a5608c133b623bd63a068f2b9a380023e4ab961fbc7e80a9d1dacf7703ff9
950,cremad__resnet_se__loso__s2__f026,cremad,resnet_se,loso,2,26,91,5482,1878,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,542f8992f0d37cafff9d5473145200ed237fd3c3c7062529543d5e7760d8f28b,splits/inner/cremad/loso/fold_026_seed_2.npz,66597fd051330fe09794c1087d12e1280a79df5e3f46ceb537d0fa79f82d2c43
951,cremad__resnet_se__loso__s2__f027,cremad,resnet_se,loso,2,27,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,da2fb240ebe385b6bf311f1b8a6f89dc1394ed4d55021040694532bf5541405b,splits/inner/cremad/loso/fold_027_seed_2.npz,781afce18b562c275494e4b6a1c1bf51ac3dd2d3a590f0126563eef70481011b
952,cremad__resnet_se__loso__s2__f028,cremad,resnet_se,loso,2,28,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e2488c11fc721af35f13dbe41f681b0540f344115f72c2ed15e83b1f9c76e67b,splits/inner/cremad/loso/fold_028_seed_2.npz,97c3f0cb17b1f12f48d658e658df54224dd9387d25cd171ae259aff8f15672e1
953,cremad__resnet_se__loso__s2__f029,cremad,resnet_se,loso,2,29,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,23d09869c029d8601836dea6240220418d15b34c6947f8c295d9bf803f12728e,splits/inner/cremad/loso/fold_029_seed_2.npz,df8ce9ed7c6606d8cb8521af553bd8afc2013bd60127284e538a1240e11e6821
954,cremad__resnet_se__loso__s2__f030,cremad,resnet_se,loso,2,30,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,488ed223d2160ab93b678b91fd7af2eaf12b4b27d31ccaa8ba9cc402d5c0b01f,splits/inner/cremad/loso/fold_030_seed_2.npz,24a42c22fde3b8f4744d09000568ecce4897871b275a9397a920809bde6b1214
955,cremad__resnet_se__loso__s2__f031,cremad,resnet_se,loso,2,31,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d5a2699511416923ba652f70d9831abe76ffd01a0dea6060cecb8ebcf335e602,splits/inner/cremad/loso/fold_031_seed_2.npz,d2b49d1b2b27f44882fc78118e0d4d810d02b6bb545e51d3b3dd48ab112a431b
956,cremad__resnet_se__loso__s2__f032,cremad,resnet_se,loso,2,32,91,5487,1873,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b71d5bc52db6b937f00496b7496505e155600cb8c98a70b902914666c284afdb,splits/inner/cremad/loso/fold_032_seed_2.npz,433d957bcdd78aae7fa9f77a9c60b6165e9e626a912ec2854ddd75b658deef51
957,cremad__resnet_se__loso__s2__f033,cremad,resnet_se,loso,2,33,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f3dda75d832c5ab508915f73303bff51c6e5469614c17cfd4a9f9fa78e634d0e,splits/inner/cremad/loso/fold_033_seed_2.npz,54534bf8f7034311c6bb0d9ec64d8af2180e70b1cf5e1a7cc9489dc41723a057
958,cremad__resnet_se__loso__s2__f034,cremad,resnet_se,loso,2,34,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,0c262c9ec85d59fab5bbf859497ba963cf9037794e5279ed38c93d770cfd471a,splits/inner/cremad/loso/fold_034_seed_2.npz,82a05844cd964f7a57aa9c7ac5c76b4642761ded9d67b6ef59330d39f411a75f
959,cremad__resnet_se__loso__s2__f035,cremad,resnet_se,loso,2,35,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,106df74779067135aa34d5c31b05a2158fdfd0662c43ab181e1aa05b8a1b1052,splits/inner/cremad/loso/fold_035_seed_2.npz,10bb73939cd8cb3e3b6a7b3ed5c13e4058231774eaecf2214b951189fb7909d9
960,cremad__resnet_se__loso__s2__f036,cremad,resnet_se,loso,2,36,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d267c697e4c63507c3931627627781e4a69726b72852a3f4a897807e65c5db73,splits/inner/cremad/loso/fold_036_seed_2.npz,5ba7a039d2cadeec44068fd109524b8752be06bc63d633f751ed14b53e2a873e
961,cremad__resnet_se__loso__s2__f037,cremad,resnet_se,loso,2,37,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,86098f3337120eddf6a0209989fa54f8153e1021a0395d2bc85de49eba643d75,splits/inner/cremad/loso/fold_037_seed_2.npz,d5160e975170206fb9a35c1657f56367248592e8b228e20e23bc950aca4dc573
962,cremad__resnet_se__loso__s2__f038,cremad,resnet_se,loso,2,38,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e2e66da0cef863ad486ae9fdd94e59c6b59a793b3e0107e3c33e5353dd48de81,splits/inner/cremad/loso/fold_038_seed_2.npz,b080850b9ca73e27d008a9172a9ebece0ceda01f1b90faea83ec639db90b3300
963,cremad__resnet_se__loso__s2__f039,cremad,resnet_se,loso,2,39,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,34c8e27f93baaba7615a47a0dadc83344f54c56f701cc2efcb4241fceb36e90d,splits/inner/cremad/loso/fold_039_seed_2.npz,fedcef3072a7b25f38fe5e7b9d4b4e1468b15bef63fffaf02f02ecae17469138
964,cremad__resnet_se__loso__s2__f040,cremad,resnet_se,loso,2,40,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,c783d27d5c192dfaab0f15f57932f36b6d1244fb935a6dce2464d3b932a77ad2,splits/inner/cremad/loso/fold_040_seed_2.npz,00e4ec979e7cc5dc4f6e3dcb1ba18f5a5380f5fa96ba5b651fc60605abd8ac5a
965,cremad__resnet_se__loso__s2__f041,cremad,resnet_se,loso,2,41,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,4d4c036c56a3e1a67fa07aa6280731a578490a48813e551a7d5c59b37d2982b2,splits/inner/cremad/loso/fold_041_seed_2.npz,6d75819c09402648f31335b3ad90fe5a7b4eea6cd5feb1c5f77a0804aa22b164
966,cremad__resnet_se__loso__s2__f042,cremad,resnet_se,loso,2,42,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,c91ac825d03b938acf2df28fddb4ed4adc455d1bc9cc36a5e72a254bf682005a,splits/inner/cremad/loso/fold_042_seed_2.npz,bae65cd79b9b1724e8e0058c0bf22a7d1edd160a3e4006a59792f7203ec6729c
967,cremad__resnet_se__loso__s2__f043,cremad,resnet_se,loso,2,43,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,eeb05f6ddf09df3d5d0d0083736be8e4286638cddf648aecf4d6ade73bf18004,splits/inner/cremad/loso/fold_043_seed_2.npz,ee8e13fc12d3d18d44a81e250818da99eac17170d827434e073acdc2befef1c2
968,cremad__resnet_se__loso__s2__f044,cremad,resnet_se,loso,2,44,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,cbaea5337e69c9fdf5496b47566db3f558bbecacbb47a29caf567ae195343a3a,splits/inner/cremad/loso/fold_044_seed_2.npz,eda8589a6f8d5b6c14c84a7a6ceb9691ac3fb470f47e7fcdb2b1e95ae91bd9eb
969,cremad__resnet_se__loso__s2__f045,cremad,resnet_se,loso,2,45,91,5487,1873,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f0090154fa552a34830fedb9c4cb18ada171d832848b7b3547d1fb2e68e217e1,splits/inner/cremad/loso/fold_045_seed_2.npz,7530e109655150877ba32e59bf094187cfd688229da059fd89a26b7e0912bfb3
